,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,0.099,2015-02-17 00:00:00,0.099,0.01,0.01,12.2630202,0.99999999,0.08154597
1,0.099,2015-02-17 04:00:00,0.099,0.099,0.099,0.0,0.0,0.099
2,0.099,2015-02-17 08:00:00,0.099,0.099,0.099,0.0,0.0,0.099
3,0.099,2015-02-17 12:00:00,0.099,0.099,0.099,0.0,0.0,0.099
4,0.099,2015-02-17 16:00:00,0.099,0.099,0.099,0.0,0.0,0.099
5,0.099,2015-02-17 20:00:00,0.099,0.099,0.099,0.0,0.0,0.099
6,0.099,2015-02-18 00:00:00,0.099,0.099,0.099,0.0,0.0,0.099
7,0.099,2015-02-18 04:00:00,0.099,0.099,0.099,0.0,0.0,0.099
8,0.099,2015-02-18 08:00:00,0.099,0.099,0.099,0.0,0.0,0.099
9,0.099,2015-02-18 12:00:00,0.099,0.099,0.099,0.0,0.0,0.099
10,0.099,2015-02-18 16:00:00,0.099,0.099,0.099,0.0,0.0,0.099
11,0.099,2015-02-18 20:00:00,0.099,0.099,0.099,0.0,0.0,0.099
12,0.099,2015-02-19 00:00:00,0.099,0.099,0.099,0.0,0.0,0.099
13,0.099,2015-02-19 04:00:00,0.099,0.099,0.099,0.0,0.0,0.099
14,0.099,2015-02-19 08:00:00,0.099,0.099,0.099,0.0,0.0,0.099
15,0.099,2015-02-19 12:00:00,0.099,0.099,0.099,0.0,0.0,0.099
16,0.099,2015-02-19 16:00:00,0.099,0.099,0.099,0.0,0.0,0.099
17,0.26000001,2015-02-19 20:00:00,0.35,0.08859999,0.08859999,171.26440055,41.33583598,0.24135684
18,0.26000001,2015-02-20 00:00:00,0.26000001,0.26000001,0.26000001,0.3,0.078,0.26000001
19,0.26000001,2015-02-20 04:00:00,0.26000001,0.26000001,0.26000001,0.0,0.0,0.26000001
20,0.25,2015-02-20 08:00:00,0.26000001,0.25,0.26000001,110.59025413,28.74716351,0.259943
21,0.25,2015-02-20 12:00:00,0.25,0.25,0.25,0.06950499,0.01737624,0.25
22,0.25,2015-02-20 16:00:00,0.25,0.25,0.25,0.0,0.0,0.25
23,0.25,2015-02-20 20:00:00,0.25,0.25,0.25,0.01469741,0.00367435,0.25
24,0.25,2015-02-21 00:00:00,0.25,0.25,0.25,0.0,0.0,0.25
25,0.25,2015-02-21 04:00:00,0.25,0.25,0.25,0.0,0.0,0.25
26,0.25,2015-02-21 08:00:00,0.25,0.25,0.25,0.0,0.0,0.25
27,0.25,2015-02-21 12:00:00,0.25,0.25,0.25,0.0,0.0,0.25
28,0.25,2015-02-21 16:00:00,0.25,0.25,0.25,0.0,0.0,0.25
29,0.25,2015-02-21 20:00:00,0.25,0.25,0.25,0.0,0.0,0.25
30,0.25,2015-02-22 00:00:00,0.25,0.25,0.25,0.0,0.0,0.25
31,0.25,2015-02-22 04:00:00,0.25,0.25,0.25,0.0,0.0,0.25
32,0.32,2015-02-22 08:00:00,0.32,0.27,0.27,14.75851639,4.44512305,0.30119037
33,0.32,2015-02-22 12:00:00,0.32,0.32,0.32,0.0,0.0,0.32
34,0.32,2015-02-22 16:00:00,0.32,0.32,0.32,0.0,0.0,0.32
35,0.295,2015-02-22 20:00:00,0.295,0.29,0.29,24.57106438,7.19703633,0.29290698
36,0.33,2015-02-23 00:00:00,0.33,0.295,0.31699999,145.56196972,46.73238564,0.32104804
37,0.295,2015-02-23 04:00:00,0.295,0.295,0.295,0.2,0.059000000000000004,0.295
38,0.295,2015-02-23 08:00:00,0.295,0.295,0.295,0.0,0.0,0.295
39,0.295,2015-02-23 12:00:00,0.295,0.295,0.295,0.0,0.0,0.295
40,0.35,2015-02-23 16:00:00,0.35,0.35,0.35,5.04044159,1.76415455,0.35
41,0.35,2015-02-23 20:00:00,0.35,0.35,0.35,3.95955841,1.38584544,0.35
42,0.38,2015-02-24 00:00:00,0.38,0.38,0.38,2.46549156,0.93688679,0.38
43,0.38,2015-02-24 04:00:00,0.38,0.38,0.38,0.0,0.0,0.38
44,0.25,2015-02-24 08:00:00,0.25000001,0.25,0.25000001,4.00254824,1.00063706,0.25
45,0.25,2015-02-24 12:00:00,0.25,0.25,0.25,0.0,0.0,0.25
46,0.25,2015-02-24 16:00:00,0.25,0.25,0.25,0.0,0.0,0.25
47,0.25,2015-02-24 20:00:00,0.25,0.25,0.25,0.0,0.0,0.25
48,0.25,2015-02-25 00:00:00,0.25,0.25,0.25,0.0,0.0,0.25
49,0.25,2015-02-25 04:00:00,0.25,0.25,0.25,0.0,0.0,0.25
50,0.25,2015-02-25 08:00:00,0.25,0.25,0.25,0.0,0.0,0.25
51,0.25,2015-02-25 12:00:00,0.25,0.25,0.25,0.0,0.0,0.25
52,0.25000101,2015-02-25 16:00:00,0.25000101,0.25000101,0.25000101,0.00109803,0.0002745,0.25000101
53,0.25000101,2015-02-25 20:00:00,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
54,0.25000101,2015-02-26 00:00:00,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
55,0.25000101,2015-02-26 04:00:00,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
56,0.25000111,2015-02-26 08:00:00,0.379999,0.25000111,0.379999,0.11748158,0.02946424,0.25079886
57,0.37999,2015-02-26 12:00:00,0.37999,0.25000101,0.25000101,0.13679758,0.05126708,0.374766
58,0.25000101,2015-02-26 16:00:00,0.25000101,0.25000101,0.25000101,0.00867683,0.00216921,0.25000101
59,0.25000101,2015-02-26 20:00:00,0.25000101,0.25000101,0.25000101,0.0,0.0,0.25000101
60,0.25000111,2015-02-27 00:00:00,0.25000111,0.25000111,0.25000111,0.02204182,0.00551047,0.25000111
61,0.25000111,2015-02-27 04:00:00,0.25000111,0.25000111,0.25000111,0.0,0.0,0.25000111
62,0.25000111,2015-02-27 08:00:00,0.25000111,0.25000111,0.25000111,0.0,0.0,0.25000111
63,0.25000111,2015-02-27 12:00:00,0.25000111,0.25000111,0.25000111,0.0,0.0,0.25000111
64,0.25000111,2015-02-27 16:00:00,0.25000111,0.25000111,0.25000111,0.0,0.0,0.25000111
65,0.25000111,2015-02-27 20:00:00,0.25000111,0.25000111,0.25000111,0.0,0.0,0.25000111
66,0.3995,2015-02-28 00:00:00,0.3995,0.25000112,0.25000112,0.0668352,0.02015835,0.3016129
67,0.3995,2015-02-28 04:00:00,0.3995,0.3995,0.3995,0.0,0.0,0.3995
68,0.3995,2015-02-28 08:00:00,0.3995,0.3995,0.3995,0.0,0.0,0.3995
69,0.41,2015-02-28 12:00:00,0.41,0.4099,0.4099,29.39537416,12.0501034,0.40993196
70,0.40999999,2015-02-28 16:00:00,0.40999999,0.40999999,0.40999999,0.00109145,0.00044749,0.40999999
71,0.35,2015-02-28 20:00:00,0.5499,0.35,0.40999999,10.83180434,4.44333843,0.41021221
72,0.35,2015-03-01 00:00:00,0.35,0.35,0.35,0.0,0.0,0.35
73,0.35,2015-03-01 04:00:00,0.35,0.35,0.35,0.0,0.0,0.35
74,0.35,2015-03-01 08:00:00,0.35,0.35,0.35,0.0,0.0,0.35
75,0.35,2015-03-01 12:00:00,0.35,0.35,0.35,0.0,0.0,0.35
